Temp,Flow,site_no,datetime,Velocity,GageHeight
78.2,222,09429070,2018-06-28 00:00,1.51,4.67
78.1,218,09429070,2018-06-28 00:15,1.48,4.70
78.0,238,09429070,2018-06-28 00:30,1.59,4.74
78.0,224,09429070,2018-06-28 00:45,1.49,4.77
77.9,223,09429070,2018-06-28 01:00,1.44,4.86
77.8,223,09429070,2018-06-28 01:15,1.43,4.89
77.6,200,09429070,2018-06-28 01:30,1.25,5.00
77.4,197,09429070,2018-06-28 01:45,1.21,5.08
77.3,191,09429070,2018-06-28 02:00,1.15,5.14
77.2,197,09429070,2018-06-28 02:15,1.17,5.18
77.1,207,09429070,2018-06-28 02:30,1.22,5.22
77.0,213,09429070,2018-06-28 02:45,1.25,5.25
76.9,199,09429070,2018-06-28 03:00,1.13,5.38
76.8,196,09429070,2018-06-28 03:15,1.09,5.45
76.8,199,09429070,2018-06-28 03:30,1.10,5.50
76.7,210,09429070,2018-06-28 03:45,1.15,5.54
76.6,215,09429070,2018-06-28 04:00,1.17,5.57
76.5,200,09429070,2018-06-28 04:15,1.06,5.70
76.4,198,09429070,2018-06-28 04:30,1.03,5.77
76.2,198,09429070,2018-06-28 04:45,1.02,5.82
76.1,201,09429070,2018-06-28 05:00,1.03,5.85
76.0,198,09429070,2018-06-28 05:15,1.01,5.88
75.9,199,09429070,2018-06-28 05:30,1.01,5.91
75.8,199,09429070,2018-06-28 05:45,1.00,5.92
75.7,199,09429070,2018-06-28 06:00,1.00,5.93
75.6,210,09429070,2018-06-28 06:15,1.05,5.95
75.5,204,09429070,2018-06-28 06:30,1.02,5.96
75.4,210,09429070,2018-06-28 06:45,1.05,5.97
75.3,202,09429070,2018-06-28 07:00,1.01,5.98
75.2,198,09429070,2018-06-28 07:15,0.98,5.98
75.2,206,09429070,2018-06-28 07:30,1.02,6.00
75.2,203,09429070,2018-06-28 07:45,1.01,6.00
75.1,202,09429070,2018-06-28 08:00,1.00,6.00
75.1,203,09429070,2018-06-28 08:15,1.01,6.00
75.1,208,09429070,2018-06-28 08:30,1.03,6.01
75.2,204,09429070,2018-06-28 08:45,1.01,6.02
75.2,200,09429070,2018-06-28 09:00,0.99,6.02
75.2,205,09429070,2018-06-28 09:15,1.01,6.02
75.3,202,09429070,2018-06-28 09:30,1.00,6.03
75.4,219,09429070,2018-06-28 09:45,1.10,5.93
75.5,200,09429070,2018-06-28 10:00,1.02,5.86
75.6,195,09429070,2018-06-28 10:15,1.01,5.81
75.8,199,09429070,2018-06-28 10:30,1.04,5.77
75.9,209,09429070,2018-06-28 10:45,1.09,5.76
76.1,198,09429070,2018-06-28 11:00,1.04,5.73
76.3,196,09429070,2018-06-28 11:15,1.03,5.72
76.5,200,09429070,2018-06-28 11:30,1.05,5.72
76.7,202,09429070,2018-06-28 11:45,1.07,5.69
76.9,202,09429070,2018-06-28 12:00,1.07,5.70
77.1,198,09429070,2018-06-28 12:15,1.05,5.69
77.4,204,09429070,2018-06-28 12:30,1.11,5.55
77.7,206,09429070,2018-06-28 12:45,1.14,5.47
77.9,203,09429070,2018-06-28 13:00,1.14,5.43
78.2,208,09429070,2018-06-28 13:15,1.18,5.38
78.5,204,09429070,2018-06-28 13:30,1.18,5.31
78.8,207,09429070,2018-06-28 13:45,1.23,5.18
79.0,156,09429070,2018-06-28 14:00,0.94,5.12
79.2,158,09429070,2018-06-28 14:15,0.96,5.08
79.4,161,09429070,2018-06-28 14:30,1.00,5.02
79.6,170,09429070,2018-06-28 14:45,1.09,4.88
79.7,154,09429070,2018-06-28 15:00,1.02,4.79
79.9,153,09429070,2018-06-28 15:15,1.02,4.75
80.0,156,09429070,2018-06-28 15:30,1.05,4.70
80.0,163,09429070,2018-06-28 15:45,1.14,4.58
80.1,160,09429070,2018-06-28 16:00,1.15,4.50
80.1,162,09429070,2018-06-28 16:15,1.18,4.45
80.1,166,09429070,2018-06-28 16:30,1.22,4.41
80.1,171,09429070,2018-06-28 16:45,1.27,4.37
80.1,158,09429070,2018-06-28 17:00,1.21,4.28
80.1,151,09429070,2018-06-28 17:15,1.19,4.20
80.0,167,09429070,2018-06-28 17:30,1.32,4.17
80.0,162,09429070,2018-06-28 17:45,1.30,4.14
79.9,164,09429070,2018-06-28 18:00,1.32,4.12
79.8,143,09429070,2018-06-28 18:15,1.16,4.08
79.7,136,09429070,2018-06-28 18:30,1.13,4.03
79.6,147,09429070,2018-06-28 18:45,1.23,4.00
79.5,145,09429070,2018-06-28 19:00,1.22,4.00
79.4,168,09429070,2018-06-28 19:15,1.40,4.02
79.3,184,09429070,2018-06-28 19:30,1.53,4.03
79.3,165,09429070,2018-06-28 19:45,1.38,4.01
79.2,141,09429070,2018-06-28 20:00,1.20,3.98
79.1,169,09429070,2018-06-28 20:15,1.44,3.96
79.0,155,09429070,2018-06-28 20:30,1.34,3.93
78.9,153,09429070,2018-06-28 20:45,1.31,3.93
78.8,159,09429070,2018-06-28 21:00,1.37,3.93
78.7,228,09429070,2018-06-28 21:15,1.95,3.95
78.6,251,09429070,2018-06-28 21:30,2.15,3.95
78.4,230,09429070,2018-06-28 21:45,1.97,3.95
78.2,259,09429070,2018-06-28 22:00,2.21,3.96
78.0,295,09429070,2018-06-28 22:15,2.50,3.97
77.8,271,09429070,2018-06-28 22:30,2.31,3.97
77.6,248,09429070,2018-06-28 22:45,2.11,3.95
77.4,221,09429070,2018-06-28 23:00,1.90,3.92
77.2,219,09429070,2018-06-28 23:15,1.92,3.89
77.0,241,09429070,2018-06-28 23:30,2.12,3.87
76.8,274,09429070,2018-06-28 23:45,2.44,3.84
