Temp,Flow,site_no,datetime,Velocity,GageHeight
78.8,156,09429070,2018-06-27 00:00,0.86,5.53
78.7,146,09429070,2018-06-27 00:15,0.78,5.67
78.6,202,09429070,2018-06-27 00:30,1.05,5.77
78.5,195,09429070,2018-06-27 00:45,1.00,5.84
78.4,183,09429070,2018-06-27 01:00,0.91,5.97
78.3,196,09429070,2018-06-27 01:15,0.96,6.07
78.1,183,09429070,2018-06-27 01:30,0.89,6.13
78.0,177,09429070,2018-06-27 01:45,0.83,6.27
77.9,179,09429070,2018-06-27 02:00,0.83,6.37
77.8,122,09429070,2018-06-27 02:15,0.49,7.18
77.6,306,09429070,2018-06-27 02:30,1.36,6.59
77.4,173,09429070,2018-06-27 02:45,0.77,6.56
77.2,177,09429070,2018-06-27 03:00,0.77,6.69
77.1,180,09429070,2018-06-27 03:15,0.77,6.78
77.0,172,09429070,2018-06-27 03:30,0.72,6.90
76.8,173,09429070,2018-06-27 03:45,0.72,6.97
76.7,175,09429070,2018-06-27 04:00,0.72,7.01
76.6,169,09429070,2018-06-27 04:15,0.69,7.07
76.5,188,09429070,2018-06-27 04:30,0.76,7.10
76.4,186,09429070,2018-06-27 04:45,0.75,7.12
76.3,185,09429070,2018-06-27 05:00,0.74,7.13
76.2,185,09429070,2018-06-27 05:15,0.74,7.15
76.1,181,09429070,2018-06-27 05:30,0.73,7.17
76.0,184,09429070,2018-06-27 05:45,0.74,7.17
75.9,190,09429070,2018-06-27 06:00,0.76,7.19
75.8,198,09429070,2018-06-27 06:15,0.79,7.19
75.7,194,09429070,2018-06-27 06:30,0.77,7.19
75.6,200,09429070,2018-06-27 06:45,0.80,7.20
75.6,200,09429070,2018-06-27 07:00,0.80,7.20
75.5,195,09429070,2018-06-27 07:15,0.78,7.21
75.4,205,09429070,2018-06-27 07:30,0.82,7.15
75.4,203,09429070,2018-06-27 07:45,0.83,7.06
75.4,201,09429070,2018-06-27 08:00,0.83,7.03
75.3,184,09429070,2018-06-27 08:15,0.76,7.00
75.3,188,09429070,2018-06-27 08:30,0.78,6.98
75.3,202,09429070,2018-06-27 08:45,0.83,6.97
75.3,206,09429070,2018-06-27 09:00,0.87,6.86
75.4,205,09429070,2018-06-27 09:15,0.88,6.78
75.5,192,09429070,2018-06-27 09:30,0.83,6.72
75.5,180,09429070,2018-06-27 09:45,0.78,6.67
75.7,218,09429070,2018-06-27 10:00,0.97,6.55
75.8,197,09429070,2018-06-27 10:15,0.90,6.45
76.0,202,09429070,2018-06-27 10:30,0.93,6.38
76.2,192,09429070,2018-06-27 10:45,0.89,6.34
76.4,217,09429070,2018-06-27 11:00,1.05,6.15
76.7,219,09429070,2018-06-27 11:15,1.07,6.06
77.0,219,09429070,2018-06-27 11:30,1.09,6.00
77.2,222,09429070,2018-06-27 11:45,1.12,5.94
77.5,217,09429070,2018-06-27 12:00,1.10,5.89
77.8,233,09429070,2018-06-27 12:15,1.22,5.75
78.1,220,09429070,2018-06-27 12:30,1.17,5.65
78.4,240,09429070,2018-06-27 12:45,1.33,5.50
78.6,229,09429070,2018-06-27 13:00,1.30,5.37
78.9,172,09429070,2018-06-27 13:15,1.00,5.28
79.2,161,09429070,2018-06-27 13:30,0.95,5.21
79.4,162,09429070,2018-06-27 13:45,0.99,5.08
79.6,165,09429070,2018-06-27 14:00,1.05,4.95
79.9,159,09429070,2018-06-27 14:15,1.03,4.87
80.1,157,09429070,2018-06-27 14:30,1.03,4.79
80.3,152,09429070,2018-06-27 14:45,1.01,4.74
80.5,154,09429070,2018-06-27 15:00,1.07,4.59
80.6,141,09429070,2018-06-27 15:15,1.01,4.49
80.7,141,09429070,2018-06-27 15:30,1.03,4.43
80.8,137,09429070,2018-06-27 15:45,1.01,4.39
80.9,130,09429070,2018-06-27 16:00,0.97,4.35
80.9,152,09429070,2018-06-27 16:15,1.17,4.26
80.9,151,09429070,2018-06-27 16:30,1.20,4.17
80.9,141,09429070,2018-06-27 16:45,1.13,4.14
80.9,150,09429070,2018-06-27 17:00,1.21,4.10
80.8,159,09429070,2018-06-27 17:15,1.30,4.09
80.8,175,09429070,2018-06-27 17:30,1.43,4.07
80.7,128,09429070,2018-06-27 17:45,1.06,4.05
80.6,123,09429070,2018-06-27 18:00,1.04,3.98
80.6,150,09429070,2018-06-27 18:15,1.28,3.94
80.5,147,09429070,2018-06-27 18:30,1.27,3.91
80.4,170,09429070,2018-06-27 18:45,1.48,3.89
80.3,148,09429070,2018-06-27 19:00,1.30,3.88
80.2,157,09429070,2018-06-27 19:15,1.36,3.91
80.1,145,09429070,2018-06-27 19:30,1.24,3.93
80.0,149,09429070,2018-06-27 19:45,1.27,3.95
79.8,147,09429070,2018-06-27 20:00,1.25,3.97
79.7,168,09429070,2018-06-27 20:15,1.42,3.98
79.6,159,09429070,2018-06-27 20:30,1.33,4.03
79.5,167,09429070,2018-06-27 20:45,1.38,4.05
79.4,156,09429070,2018-06-27 21:00,1.28,4.06
79.3,133,09429070,2018-06-27 21:15,1.07,4.12
79.2,113,09429070,2018-06-27 21:30,0.90,4.15
79.0,148,09429070,2018-06-27 21:45,1.17,4.18
78.9,156,09429070,2018-06-27 22:00,1.22,4.23
78.8,134,09429070,2018-06-27 22:15,1.00,4.35
78.7,232,09429070,2018-06-27 22:30,1.70,4.41
78.6,229,09429070,2018-06-27 22:45,1.67,4.45
78.5,235,09429070,2018-06-27 23:00,1.69,4.48
78.4,231,09429070,2018-06-27 23:15,1.65,4.50
78.3,202,09429070,2018-06-27 23:30,1.41,4.59
78.2,184,09429070,2018-06-27 23:45,1.26,4.64
