WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.81,72.9,86.6,09423560,2018-07-11 00:00,7.34
1.82,72.6,91.3,09423560,2018-07-11 00:15,7.46
1.83,72.4,94.4,09423560,2018-07-11 00:30,7.54
1.83,72.2,97.2,09423560,2018-07-11 00:45,7.63
1.83,72.0,99.5,09423560,2018-07-11 01:00,7.69
1.83,71.9,103,09423560,2018-07-11 01:15,7.78
1.91,71.7,109,09423560,2018-07-11 01:30,7.85
1.94,71.6,113,09423560,2018-07-11 01:45,7.90
1.98,71.5,118,09423560,2018-07-11 02:00,7.97
1.96,71.4,118,09423560,2018-07-11 02:15,8.00
2.02,71.4,123,09423560,2018-07-11 02:30,8.04
2.00,71.4,123,09423560,2018-07-11 02:45,8.07
2.00,71.4,123,09423560,2018-07-11 03:00,8.08
2.02,71.4,126,09423560,2018-07-11 03:15,8.11
2.02,71.4,127,09423560,2018-07-11 03:30,8.14
2.02,71.4,127,09423560,2018-07-11 03:45,8.15
2.06,71.4,130,09423560,2018-07-11 04:00,8.15
2.02,71.3,127,09423560,2018-07-11 04:15,8.14
1.99,71.3,126,09423560,2018-07-11 04:30,8.14
2.00,71.3,126,09423560,2018-07-11 04:45,8.15
1.96,71.3,123,09423560,2018-07-11 05:00,8.13
1.93,71.2,121,09423560,2018-07-11 05:15,8.12
1.88,71.2,117,09423560,2018-07-11 05:30,8.11
1.86,71.1,114,09423560,2018-07-11 05:45,8.07
1.83,71.1,112,09423560,2018-07-11 06:00,8.05
1.83,71.0,110,09423560,2018-07-11 06:15,8.01
1.82,71.0,109,09423560,2018-07-11 06:30,7.98
1.82,70.9,107,09423560,2018-07-11 06:45,7.94
1.70,70.9,99.1,09423560,2018-07-11 07:00,7.90
1.71,70.8,98.4,09423560,2018-07-11 07:15,7.86
1.68,70.8,95.4,09423560,2018-07-11 07:30,7.82
1.68,70.8,93.9,09423560,2018-07-11 07:45,7.77
1.65,70.8,90.1,09423560,2018-07-11 08:00,7.70
1.60,70.8,88.3,09423560,2018-07-11 08:15,7.73
,70.9,83.0,09423560,2018-07-11 08:30,7.60
,0.0,79.3,09423560,2018-07-11 08:45,7.52
1.54,,,09423560,2018-07-11 08:53,
1.46,,,09423560,2018-07-11 08:54,
1.52,,,09423560,2018-07-11 08:55,
1.47,,,09423560,2018-07-11 08:56,
1.55,,,09423560,2018-07-11 08:57,
1.42,,,09423560,2018-07-11 08:58,
1.51,,,09423560,2018-07-11 08:59,
1.48,0.0,74.3,09423560,2018-07-11 09:00,7.46
1.48,,,09423560,2018-07-11 09:01,
1.46,,,09423560,2018-07-11 09:02,
1.51,,,09423560,2018-07-11 09:03,
1.52,,,09423560,2018-07-11 09:04,
1.57,,,09423560,2018-07-11 09:05,
1.42,,,09423560,2018-07-11 09:06,
1.48,,,09423560,2018-07-11 09:07,
1.53,,,09423560,2018-07-11 09:08,
1.47,,,09423560,2018-07-11 09:09,
