WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.80,72.9,85.6,09423560,2018-07-15 00:00,7.33
1.82,72.8,88.8,09423560,2018-07-15 00:15,7.40
1.80,72.8,90.5,09423560,2018-07-15 00:30,7.47
1.83,72.7,93.5,09423560,2018-07-15 00:45,7.52
1.83,72.6,95.6,09423560,2018-07-15 01:00,7.58
1.84,72.4,98.3,09423560,2018-07-15 01:15,7.64
1.82,72.3,98.4,09423560,2018-07-15 01:30,7.67
1.82,72.1,99.7,09423560,2018-07-15 01:45,7.71
1.80,71.9,99.2,09423560,2018-07-15 02:00,7.74
1.84,71.8,102,09423560,2018-07-15 02:15,7.77
1.82,71.6,102,09423560,2018-07-15 02:30,7.78
1.80,71.6,101,09423560,2018-07-15 02:45,7.78
1.79,71.4,100,09423560,2018-07-15 03:00,7.78
1.78,71.4,99.7,09423560,2018-07-15 03:15,7.78
1.76,71.3,98.3,09423560,2018-07-15 03:30,7.77
1.79,71.2,99.6,09423560,2018-07-15 03:45,7.76
1.79,71.1,99.3,09423560,2018-07-15 04:00,7.75
1.73,71.1,95.0,09423560,2018-07-15 04:15,7.72
1.71,71.1,93.3,09423560,2018-07-15 04:30,7.70
1.69,71.1,91.3,09423560,2018-07-15 04:45,7.67
1.66,71.1,88.5,09423560,2018-07-15 05:00,7.63
1.66,71.1,87.3,09423560,2018-07-15 05:15,7.59
1.64,71.2,85.0,09423560,2018-07-15 05:30,7.55
1.61,71.2,81.7,09423560,2018-07-15 05:45,7.49
1.59,71.2,78.7,09423560,2018-07-15 06:00,7.44
1.57,71.3,76.6,09423560,2018-07-15 06:15,7.40
1.54,71.3,73.2,09423560,2018-07-15 06:30,7.33
1.49,71.4,69.5,09423560,2018-07-15 06:45,7.28
1.50,71.4,68.3,09423560,2018-07-15 07:00,7.22
1.45,71.4,64.4,09423560,2018-07-15 07:15,7.16
1.40,71.4,60.4,09423560,2018-07-15 07:30,7.09
1.38,71.6,58.1,09423560,2018-07-15 07:45,7.03
1.34,71.6,55.0,09423560,2018-07-15 08:00,6.97
1.29,71.7,51.6,09423560,2018-07-15 08:15,6.90
1.26,71.7,49.1,09423560,2018-07-15 08:30,6.83
1.17,71.8,44.5,09423560,2018-07-15 08:45,6.77
1.19,71.9,44.0,09423560,2018-07-15 09:00,6.70
1.17,72.0,42.2,09423560,2018-07-15 09:15,6.64
1.11,72.1,39.0,09423560,2018-07-15 09:30,6.58
1.06,72.2,36.2,09423560,2018-07-15 09:45,6.51
1.07,72.4,35.7,09423560,2018-07-15 10:00,6.46
1.04,72.5,33.6,09423560,2018-07-15 10:15,6.39
1.01,72.6,31.8,09423560,2018-07-15 10:30,6.34
0.94,72.8,28.6,09423560,2018-07-15 10:45,6.29
0.96,73.0,28.6,09423560,2018-07-15 11:00,6.23
0.87,73.2,25.1,09423560,2018-07-15 11:15,6.18
0.84,73.4,23.4,09423560,2018-07-15 11:30,6.12
0.83,73.7,22.6,09423560,2018-07-15 11:45,6.08
0.75,73.9,20.1,09423560,2018-07-15 12:00,6.05
0.69,74.0,18.0,09423560,2018-07-15 12:15,6.00
0.66,73.9,16.9,09423560,2018-07-15 12:30,5.96
0.61,74.1,15.4,09423560,2018-07-15 12:45,5.93
0.58,74.4,14.3,09423560,2018-07-15 13:00,5.89
0.59,74.8,14.4,09423560,2018-07-15 13:15,5.86
0.46,75.1,11.1,09423560,2018-07-15 13:30,5.84
0.38,75.1,9.08,09423560,2018-07-15 13:45,5.81
0.32,75.3,7.60,09423560,2018-07-15 14:00,5.79
0.28,75.4,6.41,09423560,2018-07-15 14:15,5.78
0.21,75.8,4.72,09423560,2018-07-15 14:30,5.75
0.16,76.4,3.58,09423560,2018-07-15 14:45,5.74
0.13,77.0,2.91,09423560,2018-07-15 15:00,5.74
,77.3,2.81,09423560,2018-07-15 15:15,5.75
0.12,77.4,2.72,09423560,2018-07-15 15:30,5.76
0.13,77.6,2.96,09423560,2018-07-15 15:45,5.77
0.08,77.8,1.84,09423560,2018-07-15 16:00,5.79
,78.1,1.81,09423560,2018-07-15 16:15,5.76
0.08,78.2,1.81,09423560,2018-07-15 16:30,5.76
,78.5,1.89,09423560,2018-07-15 16:45,5.76
,78.6,1.96,09423560,2018-07-15 17:00,5.76
0.09,78.9,2.04,09423560,2018-07-15 17:15,5.76
0.08,79.1,1.82,09423560,2018-07-15 17:30,5.77
,79.4,1.82,09423560,2018-07-15 17:45,5.77
,79.7,1.82,09423560,2018-07-15 18:00,5.77
0.08,80.1,1.83,09423560,2018-07-15 18:15,5.78
0.19,79.3,4.32,09423560,2018-07-15 18:30,5.77
0.31,78.6,7.13,09423560,2018-07-15 18:45,5.79
0.41,79.1,9.88,09423560,2018-07-15 19:00,5.83
0.50,75.1,12.1,09423560,2018-07-15 19:15,5.85
0.60,74.0,14.8,09423560,2018-07-15 19:30,5.89
0.73,73.6,18.6,09423560,2018-07-15 19:45,5.95
0.85,73.5,22.4,09423560,2018-07-15 20:00,6.02
0.95,73.4,26.2,09423560,2018-07-15 20:15,6.10
1.04,73.3,30.0,09423560,2018-07-15 20:30,6.17
1.09,73.2,33.0,09423560,2018-07-15 20:45,6.26
1.17,73.2,37.1,09423560,2018-07-15 21:00,6.36
1.24,73.2,41.0,09423560,2018-07-15 21:15,6.45
1.33,73.2,45.8,09423560,2018-07-15 21:30,6.54
1.44,73.2,51.8,09423560,2018-07-15 21:45,6.64
1.54,73.2,57.7,09423560,2018-07-15 22:00,6.74
1.59,73.1,62.0,09423560,2018-07-15 22:15,6.84
1.68,73.1,68.7,09423560,2018-07-15 22:30,6.95
1.75,73.1,74.1,09423560,2018-07-15 22:45,7.04
1.77,73.0,78.2,09423560,2018-07-15 23:00,7.14
1.80,72.9,82.5,09423560,2018-07-15 23:15,7.23
1.82,72.9,86.1,09423560,2018-07-15 23:30,7.32
1.84,72.8,90.3,09423560,2018-07-15 23:45,7.41
