Temp,Flow,site_no,datetime,Precipitation,GageHeight
79.5,0.00,09424900,2018-06-28 00:00,0.00,-0.13
78.9,0.00,09424900,2018-06-28 00:15,0.00,-0.13
78.2,0.00,09424900,2018-06-28 00:30,0.00,-0.13
77.8,0.00,09424900,2018-06-28 00:45,0.00,-0.13
76.5,0.00,09424900,2018-06-28 01:00,0.00,-0.13
76.1,0.00,09424900,2018-06-28 01:15,0.00,-0.13
75.7,0.00,09424900,2018-06-28 01:30,0.00,-0.13
75.7,0.00,09424900,2018-06-28 01:45,0.00,-0.13
75.7,0.00,09424900,2018-06-28 02:00,0.00,-0.13
76.1,0.00,09424900,2018-06-28 02:15,0.00,-0.13
75.5,0.00,09424900,2018-06-28 02:30,0.00,-0.13
73.4,0.00,09424900,2018-06-28 02:45,0.00,-0.13
72.6,0.00,09424900,2018-06-28 03:00,0.00,-0.13
72.8,0.00,09424900,2018-06-28 03:15,0.00,-0.13
71.6,0.00,09424900,2018-06-28 03:30,0.00,-0.13
71.5,0.00,09424900,2018-06-28 03:45,0.00,-0.13
70.7,0.00,09424900,2018-06-28 04:00,0.00,-0.13
69.2,0.00,09424900,2018-06-28 04:15,0.00,-0.13
69.6,0.00,09424900,2018-06-28 04:30,0.00,-0.13
71.7,0.00,09424900,2018-06-28 04:45,0.00,-0.13
70.6,0.00,09424900,2018-06-28 05:00,0.00,-0.13
68.9,0.00,09424900,2018-06-28 05:15,0.00,-0.13
72.6,0.00,09424900,2018-06-28 05:30,0.00,-0.13
73.2,0.00,09424900,2018-06-28 05:45,0.00,-0.13
72.9,0.00,09424900,2018-06-28 06:00,0.00,-0.13
76.5,0.00,09424900,2018-06-28 06:15,0.00,-0.13
77.5,0.00,09424900,2018-06-28 06:30,0.00,-0.13
81.5,0.00,09424900,2018-06-28 06:45,0.00,-0.13
85.5,0.00,09424900,2018-06-28 07:00,0.00,-0.13
88.4,0.00,09424900,2018-06-28 07:15,0.00,-0.13
90.3,0.00,09424900,2018-06-28 07:30,0.00,-0.13
92.1,0.00,09424900,2018-06-28 07:45,0.00,-0.13
93.1,0.00,09424900,2018-06-28 08:00,0.00,-0.13
94.6,0.00,09424900,2018-06-28 08:15,0.00,-0.12
96.1,0.00,09424900,2018-06-28 08:30,0.00,-0.12
98.3,0.00,09424900,2018-06-28 08:45,0.00,-0.12
100.1,0.00,09424900,2018-06-28 09:00,0.00,-0.12
101.0,0.00,09424900,2018-06-28 09:15,0.00,-0.12
102.6,0.00,09424900,2018-06-28 09:30,0.00,-0.12
103.8,0.00,09424900,2018-06-28 09:45,0.00,-0.12
102.4,0.00,09424900,2018-06-28 10:00,0.00,-0.12
102.0,0.00,09424900,2018-06-28 10:15,0.00,-0.12
100.7,0.00,09424900,2018-06-28 10:30,0.00,-0.12
102.9,0.00,09424900,2018-06-28 10:45,0.00,-0.12
102.5,0.00,09424900,2018-06-28 11:00,0.00,-0.12
104.3,0.00,09424900,2018-06-28 11:15,0.00,-0.12
103.0,0.00,09424900,2018-06-28 11:30,0.00,-0.12
103.0,0.00,09424900,2018-06-28 11:45,0.00,-0.12
103.7,0.00,09424900,2018-06-28 12:00,0.00,-0.12
103.7,0.00,09424900,2018-06-28 12:15,0.00,-0.12
103.3,0.00,09424900,2018-06-28 12:30,0.00,-0.12
101.8,0.00,09424900,2018-06-28 12:45,0.00,-0.12
103.6,0.00,09424900,2018-06-28 13:00,0.00,-0.12
104.4,0.00,09424900,2018-06-28 13:15,0.00,-0.12
104.1,0.00,09424900,2018-06-28 13:30,0.00,-0.12
104.3,0.00,09424900,2018-06-28 13:45,0.00,-0.12
104.1,0.00,09424900,2018-06-28 14:00,0.00,-0.12
103.3,0.00,09424900,2018-06-28 14:15,0.00,-0.12
105.1,0.00,09424900,2018-06-28 14:30,0.00,-0.12
104.8,0.00,09424900,2018-06-28 14:45,0.00,-0.12
106.4,0.00,09424900,2018-06-28 15:00,0.00,-0.12
105.7,0.00,09424900,2018-06-28 15:15,0.00,-0.12
104.6,0.00,09424900,2018-06-28 15:30,0.00,-0.12
105.1,0.00,09424900,2018-06-28 15:45,0.00,-0.12
104.8,0.00,09424900,2018-06-28 16:00,0.00,-0.12
105.4,0.00,09424900,2018-06-28 16:15,0.00,-0.12
106.6,0.00,09424900,2018-06-28 16:30,0.00,-0.12
104.8,0.00,09424900,2018-06-28 16:45,0.00,-0.12
104.8,0.00,09424900,2018-06-28 17:00,0.00,-0.12
105.3,0.00,09424900,2018-06-28 17:15,0.00,-0.12
104.6,0.00,09424900,2018-06-28 17:30,0.00,-0.12
105.1,0.00,09424900,2018-06-28 17:45,0.00,-0.12
104.2,0.00,09424900,2018-06-28 18:00,0.00,-0.12
104.2,0.00,09424900,2018-06-28 18:15,0.00,-0.12
103.2,0.00,09424900,2018-06-28 18:30,0.00,-0.12
103.0,0.00,09424900,2018-06-28 18:45,0.00,-0.12
102.2,0.00,09424900,2018-06-28 19:00,0.00,-0.12
101.5,0.00,09424900,2018-06-28 19:15,0.00,-0.12
100.5,0.00,09424900,2018-06-28 19:30,0.00,-0.12
99.9,0.00,09424900,2018-06-28 19:45,0.00,-0.12
98.8,0.00,09424900,2018-06-28 20:00,0.00,-0.12
97.8,0.00,09424900,2018-06-28 20:15,0.00,-0.12
97.0,0.00,09424900,2018-06-28 20:30,0.00,-0.12
96.4,0.00,09424900,2018-06-28 20:45,0.00,-0.13
95.8,0.00,09424900,2018-06-28 21:00,0.00,-0.13
94.4,0.00,09424900,2018-06-28 21:15,0.00,-0.13
92.8,0.00,09424900,2018-06-28 21:30,0.00,-0.13
88.9,0.00,09424900,2018-06-28 21:45,0.00,-0.13
86.6,0.00,09424900,2018-06-28 22:00,0.00,-0.13
85.2,0.00,09424900,2018-06-28 22:15,0.00,-0.13
83.6,0.00,09424900,2018-06-28 22:30,0.00,-0.13
83.1,0.00,09424900,2018-06-28 22:45,0.00,-0.13
82.0,0.00,09424900,2018-06-28 23:00,0.00,-0.13
81.9,0.00,09424900,2018-06-28 23:15,0.00,-0.13
81.9,0.00,09424900,2018-06-28 23:30,0.00,-0.13
83.2,0.00,09424900,2018-06-28 23:45,0.00,-0.13
