Temp,Flow,site_no,datetime,Velocity,GageHeight
77.6,186,09429070,2018-07-04 00:00,1.24,4.74
77.5,196,09429070,2018-07-04 00:15,1.31,4.74
77.4,190,09429070,2018-07-04 00:30,1.27,4.73
77.3,194,09429070,2018-07-04 00:45,1.30,4.73
77.2,190,09429070,2018-07-04 01:00,1.27,4.73
77.1,199,09429070,2018-07-04 01:15,1.32,4.78
77.0,190,09429070,2018-07-04 01:30,1.23,4.85
76.9,191,09429070,2018-07-04 01:45,1.22,4.92
76.8,194,09429070,2018-07-04 02:00,1.22,4.95
76.8,194,09429070,2018-07-04 02:15,1.22,4.98
76.7,182,09429070,2018-07-04 02:30,1.12,5.07
76.6,183,09429070,2018-07-04 02:45,1.11,5.12
76.5,181,09429070,2018-07-04 03:00,1.07,5.20
76.4,180,09429070,2018-07-04 03:15,1.06,5.25
76.4,168,09429070,2018-07-04 03:30,0.94,5.42
76.3,182,09429070,2018-07-04 03:45,1.01,5.49
76.2,181,09429070,2018-07-04 04:00,0.99,5.56
76.1,188,09429070,2018-07-04 04:15,1.01,5.61
76.0,201,09429070,2018-07-04 04:30,1.08,5.64
76.0,192,09429070,2018-07-04 04:45,1.00,5.76
75.9,202,09429070,2018-07-04 05:00,1.04,5.84
75.9,199,09429070,2018-07-04 05:15,1.01,5.90
75.9,206,09429070,2018-07-04 05:30,1.03,5.95
75.8,194,09429070,2018-07-04 05:45,0.94,6.10
75.8,200,09429070,2018-07-04 06:00,0.96,6.17
75.7,193,09429070,2018-07-04 06:15,0.92,6.22
75.7,190,09429070,2018-07-04 06:30,0.89,6.26
75.6,181,09429070,2018-07-04 06:45,0.84,6.38
75.6,182,09429070,2018-07-04 07:00,0.83,6.46
75.5,176,09429070,2018-07-04 07:15,0.78,6.57
75.5,184,09429070,2018-07-04 07:30,0.80,6.68
75.5,178,09429070,2018-07-04 07:45,0.77,6.75
75.5,187,09429070,2018-07-04 08:00,0.80,6.80
75.5,189,09429070,2018-07-04 08:15,0.80,6.85
75.5,176,09429070,2018-07-04 08:30,0.74,6.88
75.6,169,09429070,2018-07-04 08:45,0.70,7.00
75.6,172,09429070,2018-07-04 09:00,0.70,7.06
75.7,180,09429070,2018-07-04 09:15,0.73,7.10
75.7,173,09429070,2018-07-04 09:30,0.70,7.14
75.8,172,09429070,2018-07-04 09:45,0.69,7.17
