Temp,Flow,site_no,datetime,Conductance,Precipitation,GageHeight
10.7,17600,09380000,2018-07-10 00:00,680,0.00,10.24
10.7,17200,09380000,2018-07-10 00:15,677,0.00,10.17
10.6,17000,09380000,2018-07-10 00:30,674,0.00,10.12
10.6,16500,09380000,2018-07-10 00:45,677,0.00,10.04
10.6,16100,09380000,2018-07-10 01:00,684,0.00,9.96
10.6,15700,09380000,2018-07-10 01:15,676,0.00,9.89
10.5,15400,09380000,2018-07-10 01:30,675,0.00,9.82
10.6,15000,09380000,2018-07-10 01:45,676,0.00,9.74
10.6,14600,09380000,2018-07-10 02:00,674,0.00,9.67
10.5,14300,09380000,2018-07-10 02:15,674,0.00,9.60
10.5,13900,09380000,2018-07-10 02:30,676,0.00,9.53
10.5,13600,09380000,2018-07-10 02:45,675,0.00,9.47
10.5,13300,09380000,2018-07-10 03:00,675,0.00,9.41
10.5,13000,09380000,2018-07-10 03:15,675,0.00,9.35
10.5,12800,09380000,2018-07-10 03:30,674,0.00,9.29
10.5,12500,09380000,2018-07-10 03:45,670,0.00,9.24
10.5,12300,09380000,2018-07-10 04:00,666,0.00,9.19
10.5,12000,09380000,2018-07-10 04:15,673,0.00,9.13
10.5,11900,09380000,2018-07-10 04:30,673,0.00,9.09
10.5,11700,09380000,2018-07-10 04:45,669,0.00,9.05
10.5,11600,09380000,2018-07-10 05:00,674,0.00,9.02
10.5,11400,09380000,2018-07-10 05:15,674,0.00,8.99
10.5,11300,09380000,2018-07-10 05:30,675,0.00,8.96
10.6,11300,09380000,2018-07-10 05:45,674,0.00,8.95
10.6,11100,09380000,2018-07-10 06:00,673,0.00,8.92
10.6,11000,09380000,2018-07-10 06:15,677,0.00,8.90
10.6,11000,09380000,2018-07-10 06:30,673,0.00,8.88
10.6,11000,09380000,2018-07-10 06:45,673,0.00,8.88
10.6,10900,09380000,2018-07-10 07:00,673,0.00,8.87
10.6,10900,09380000,2018-07-10 07:15,672,0.00,8.86
10.6,10900,09380000,2018-07-10 07:30,673,0.00,8.86
10.7,10900,09380000,2018-07-10 07:45,672,0.00,8.86
10.7,11000,09380000,2018-07-10 08:00,672,0.00,8.88
