WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.85,73.6,105,09423560,2018-07-07 00:00,7.82
1.82,73.6,105,09423560,2018-07-07 00:15,7.88
1.91,73.5,111,09423560,2018-07-07 00:30,7.90
1.90,73.5,112,09423560,2018-07-07 00:45,7.94
1.88,73.4,112,09423560,2018-07-07 01:00,7.98
1.91,73.3,115,09423560,2018-07-07 01:15,8.00
1.96,73.2,119,09423560,2018-07-07 01:30,8.02
1.95,73.1,118,09423560,2018-07-07 01:45,8.03
1.95,73.0,119,09423560,2018-07-07 02:00,8.04
1.91,72.9,116,09423560,2018-07-07 02:15,8.03
1.92,72.8,117,09423560,2018-07-07 02:30,8.05
1.91,72.6,116,09423560,2018-07-07 02:45,8.04
1.90,72.5,114,09423560,2018-07-07 03:00,8.01
1.85,72.4,112,09423560,2018-07-07 03:15,8.01
1.82,72.2,109,09423560,2018-07-07 03:30,8.00
1.86,72.1,111,09423560,2018-07-07 03:45,7.97
1.82,72.0,107,09423560,2018-07-07 04:00,7.95
1.75,71.8,103,09423560,2018-07-07 04:15,7.92
1.78,71.8,103,09423560,2018-07-07 04:30,7.89
1.77,71.7,101,09423560,2018-07-07 04:45,7.84
1.72,71.6,97.5,09423560,2018-07-07 05:00,7.81
1.68,71.6,93.4,09423560,2018-07-07 05:15,7.75
1.68,71.5,91.8,09423560,2018-07-07 05:30,7.70
1.67,71.5,90.1,09423560,2018-07-07 05:45,7.66
1.58,71.5,82.7,09423560,2018-07-07 06:00,7.59
1.60,71.5,82.5,09423560,2018-07-07 06:15,7.53
1.53,71.5,76.5,09423560,2018-07-07 06:30,7.46
1.51,71.5,73.3,09423560,2018-07-07 06:45,7.38
1.44,71.4,68.1,09423560,2018-07-07 07:00,7.31
1.38,71.4,63.0,09423560,2018-07-07 07:15,7.22
1.35,71.4,59.7,09423560,2018-07-07 07:30,7.14
1.25,71.5,53.2,09423560,2018-07-07 07:45,7.05
1.18,71.5,48.3,09423560,2018-07-07 08:00,6.95
1.15,71.6,45.5,09423560,2018-07-07 08:15,6.86
1.13,71.6,42.9,09423560,2018-07-07 08:30,6.76
1.01,71.8,36.9,09423560,2018-07-07 08:45,6.66
0.96,72.1,33.6,09423560,2018-07-07 09:00,6.56
0.88,72.1,29.3,09423560,2018-07-07 09:15,6.47
0.80,72.5,25.5,09423560,2018-07-07 09:30,6.37
0.85,72.7,25.7,09423560,2018-07-07 09:45,6.27
0.83,73.0,24.0,09423560,2018-07-07 10:00,6.18
0.66,72.8,18.2,09423560,2018-07-07 10:15,6.09
0.59,72.9,15.5,09423560,2018-07-07 10:30,6.00
0.51,73.5,12.9,09423560,2018-07-07 10:45,5.93
0.42,73.7,10.3,09423560,2018-07-07 11:00,5.86
0.30,75.0,6.92,09423560,2018-07-07 11:15,5.79
,76.0,6.06,09423560,2018-07-07 11:30,5.74
,76.3,5.38,09423560,2018-07-07 11:45,5.74
,76.3,4.76,09423560,2018-07-07 12:00,5.76
,77.3,4.15,09423560,2018-07-07 12:15,5.79
,77.6,3.52,09423560,2018-07-07 12:30,5.82
0.12,78.1,2.82,09423560,2018-07-07 12:45,5.82
0.10,78.3,2.33,09423560,2018-07-07 13:00,5.81
,78.9,3.58,09423560,2018-07-07 13:15,5.79
0.21,79.6,4.82,09423560,2018-07-07 13:30,5.78
0.29,79.8,6.73,09423560,2018-07-07 13:45,5.80
0.14,79.8,3.25,09423560,2018-07-07 14:00,5.80
0.09,80.4,2.10,09423560,2018-07-07 14:15,5.81
0.12,80.6,2.83,09423560,2018-07-07 14:30,5.83
0.13,80.7,3.05,09423560,2018-07-07 14:45,5.82
0.13,81.2,3.00,09423560,2018-07-07 15:00,5.79
0.17,81.3,3.95,09423560,2018-07-07 15:15,5.80
0.11,81.9,2.54,09423560,2018-07-07 15:30,5.79
0.08,82.3,1.85,09423560,2018-07-07 15:45,5.79
0.08,82.6,1.91,09423560,2018-07-07 16:00,5.85
0.09,82.8,2.12,09423560,2018-07-07 16:15,5.83
,83.2,3.12,09423560,2018-07-07 16:30,5.87
0.17,83.3,4.14,09423560,2018-07-07 16:45,5.90
0.38,81.1,9.76,09423560,2018-07-07 17:00,5.95
0.62,77.5,16.1,09423560,2018-07-07 17:15,5.99
0.74,75.7,20.0,09423560,2018-07-07 17:30,6.07
0.83,75.0,23.2,09423560,2018-07-07 17:45,6.13
1.01,74.6,29.6,09423560,2018-07-07 18:00,6.20
1.03,74.3,31.3,09423560,2018-07-07 18:15,6.27
1.12,74.0,35.5,09423560,2018-07-07 18:30,6.36
1.23,73.8,40.2,09423560,2018-07-07 18:45,6.43
1.25,73.5,42.4,09423560,2018-07-07 19:00,6.51
1.36,73.2,47.8,09423560,2018-07-07 19:15,6.59
1.40,72.9,50.9,09423560,2018-07-07 19:30,6.67
1.40,72.7,52.4,09423560,2018-07-07 19:45,6.74
1.49,72.5,57.6,09423560,2018-07-07 20:00,6.82
1.53,72.3,60.7,09423560,2018-07-07 20:15,6.89
1.57,72.2,63.7,09423560,2018-07-07 20:30,6.95
1.60,72.1,67.2,09423560,2018-07-07 20:45,7.02
1.66,72.0,72.1,09423560,2018-07-07 21:00,7.10
1.64,72.0,73.4,09423560,2018-07-07 21:15,7.17
