WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.83,70.0,99.9,09423560,2018-07-22 00:00,7.70
1.82,70.1,101,09423560,2018-07-22 00:15,7.75
1.82,70.2,102,09423560,2018-07-22 00:30,7.80
1.83,70.2,105,09423560,2018-07-22 00:45,7.84
1.84,70.3,106,09423560,2018-07-22 01:00,7.88
1.93,70.3,112,09423560,2018-07-22 01:15,7.90
1.91,70.4,112,09423560,2018-07-22 01:30,7.92
1.89,70.4,112,09423560,2018-07-22 01:45,7.97
1.91,70.4,114,09423560,2018-07-22 02:00,7.97
1.90,70.5,112,09423560,2018-07-22 02:15,7.96
1.90,70.5,112,09423560,2018-07-22 02:30,7.96
1.88,70.5,112,09423560,2018-07-22 02:45,7.98
1.90,70.5,112,09423560,2018-07-22 03:00,7.96
1.88,70.5,112,09423560,2018-07-22 03:15,7.97
1.84,70.4,109,09423560,2018-07-22 03:30,7.95
1.84,70.4,108,09423560,2018-07-22 03:45,7.93
1.82,70.4,106,09423560,2018-07-22 04:00,7.90
1.78,70.4,103,09423560,2018-07-22 04:15,7.87
1.79,70.4,102,09423560,2018-07-22 04:30,7.84
1.73,70.4,97.6,09423560,2018-07-22 04:45,7.80
1.71,70.5,95.2,09423560,2018-07-22 05:00,7.76
1.66,70.5,90.9,09423560,2018-07-22 05:15,7.71
1.67,70.6,89.9,09423560,2018-07-22 05:30,7.66
1.65,70.6,87.0,09423560,2018-07-22 05:45,7.60
1.60,70.7,82.4,09423560,2018-07-22 06:00,7.53
1.55,70.8,77.6,09423560,2018-07-22 06:15,7.47
1.58,70.9,77.1,09423560,2018-07-22 06:30,7.40
1.49,71.0,70.8,09423560,2018-07-22 06:45,7.33
1.44,71.0,66.4,09423560,2018-07-22 07:00,7.25
1.35,71.2,60.3,09423560,2018-07-22 07:15,7.17
1.36,71.3,58.5,09423560,2018-07-22 07:30,7.08
1.27,71.4,52.6,09423560,2018-07-22 07:45,6.99
1.23,71.5,49.3,09423560,2018-07-22 08:00,6.90
1.18,71.6,45.6,09423560,2018-07-22 08:15,6.81
1.12,71.8,41.6,09423560,2018-07-22 08:30,6.71
1.04,71.9,37.1,09423560,2018-07-22 08:45,6.61
1.08,72.0,37.0,09423560,2018-07-22 09:00,6.52
0.90,72.2,29.2,09423560,2018-07-22 09:15,6.42
0.92,72.4,28.5,09423560,2018-07-22 09:30,6.32
0.80,72.6,23.7,09423560,2018-07-22 09:45,6.23
0.76,72.8,21.5,09423560,2018-07-22 10:00,6.14
0.70,73.1,18.8,09423560,2018-07-22 10:15,6.05
0.68,73.3,17.4,09423560,2018-07-22 10:30,5.96
0.65,73.6,16.0,09423560,2018-07-22 10:45,5.88
0.45,74.0,10.6,09423560,2018-07-22 11:00,5.80
0.44,74.5,10.1,09423560,2018-07-22 11:15,5.74
0.27,75.1,5.83,09423560,2018-07-22 11:30,5.68
0.10,76.1,2.11,09423560,2018-07-22 11:45,5.64
,76.6,1.88,09423560,2018-07-22 12:00,5.63
0.08,77.0,1.69,09423560,2018-07-22 12:15,5.64
0.08,77.4,1.72,09423560,2018-07-22 12:30,5.67
0.15,78.1,3.28,09423560,2018-07-22 12:45,5.70
0.23,78.5,5.00,09423560,2018-07-22 13:00,5.69
0.17,78.8,3.63,09423560,2018-07-22 13:15,5.66
0.11,79.4,2.32,09423560,2018-07-22 13:30,5.64
0.08,79.9,1.69,09423560,2018-07-22 13:45,5.64
0.10,80.3,2.12,09423560,2018-07-22 14:00,5.65
0.11,80.7,2.35,09423560,2018-07-22 14:15,5.66
0.12,80.9,2.59,09423560,2018-07-22 14:30,5.68
0.11,81.1,2.37,09423560,2018-07-22 14:45,5.68
0.10,81.5,2.16,09423560,2018-07-22 15:00,5.68
0.09,81.8,1.94,09423560,2018-07-22 15:15,5.68
0.08,82.1,1.71,09423560,2018-07-22 15:30,5.66
0.12,82.4,2.56,09423560,2018-07-22 15:45,5.66
0.08,82.6,1.71,09423560,2018-07-22 16:00,5.66
0.13,82.8,2.79,09423560,2018-07-22 16:15,5.67
0.14,83.0,3.02,09423560,2018-07-22 16:30,5.68
0.28,83.2,5.97,09423560,2018-07-22 16:45,5.66
0.20,83.4,4.29,09423560,2018-07-22 17:00,5.67
0.24,83.6,5.15,09423560,2018-07-22 17:15,5.67
