WaterVelocity,Temp,Flow,site_no,datetime,GageHeight
1.81,73.6,96.7,09423560,2018-07-21 00:00,7.65
1.80,73.6,97.9,09423560,2018-07-21 00:15,7.70
1.82,73.6,101,09423560,2018-07-21 00:30,7.76
1.80,73.6,101,09423560,2018-07-21 00:45,7.79
1.82,73.6,104,09423560,2018-07-21 01:00,7.83
1.82,73.5,105,09423560,2018-07-21 01:15,7.87
1.92,73.5,112,09423560,2018-07-21 01:30,7.90
1.88,73.4,109,09423560,2018-07-21 01:45,7.91
1.90,73.3,111,09423560,2018-07-21 02:00,7.93
1.90,73.3,112,09423560,2018-07-21 02:15,7.95
1.91,73.2,113,09423560,2018-07-21 02:30,7.95
1.85,73.0,110,09423560,2018-07-21 02:45,7.96
1.84,72.9,109,09423560,2018-07-21 03:00,7.97
1.84,72.8,109,09423560,2018-07-21 03:15,7.96
1.82,72.7,107,09423560,2018-07-21 03:30,7.93
1.75,72.6,103,09423560,2018-07-21 03:45,7.92
1.77,72.5,103,09423560,2018-07-21 04:00,7.90
1.71,72.4,98.4,09423560,2018-07-21 04:15,7.86
1.71,72.3,97.4,09423560,2018-07-21 04:30,7.83
1.70,72.2,95.9,09423560,2018-07-21 04:45,7.80
1.68,72.2,93.6,09423560,2018-07-21 05:00,7.76
1.70,72.1,92.8,09423560,2018-07-21 05:15,7.70
1.61,72.1,86.5,09423560,2018-07-21 05:30,7.65
1.61,72.1,85.0,09423560,2018-07-21 05:45,7.60
1.59,72.1,81.7,09423560,2018-07-21 06:00,7.54
1.54,72.1,77.2,09423560,2018-07-21 06:15,7.47
1.48,72.2,72.3,09423560,2018-07-21 06:30,7.40
1.46,72.2,69.2,09423560,2018-07-21 06:45,7.32
1.41,72.2,64.7,09423560,2018-07-21 07:00,7.24
1.38,72.2,61.4,09423560,2018-07-21 07:15,7.16
1.32,72.3,56.5,09423560,2018-07-21 07:30,7.07
1.29,72.3,53.2,09423560,2018-07-21 07:45,6.98
1.24,72.4,49.5,09423560,2018-07-21 08:00,6.89
1.14,72.4,43.9,09423560,2018-07-21 08:15,6.80
1.16,72.4,44.2,09423560,2018-07-21 08:30,6.77
1.12,72.4,41.3,09423560,2018-07-21 08:45,6.69
1.01,72.4,36.8,09423560,2018-07-21 09:00,6.66
0.96,72.4,33.5,09423560,2018-07-21 09:15,6.58
0.81,72.4,27.3,09423560,2018-07-21 09:30,6.50
0.78,72.4,25.0,09423560,2018-07-21 09:45,6.39
0.71,72.4,21.7,09423560,2018-07-21 10:00,6.29
